protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNTEMP,South,2023.0,2023-09-08 00:00:00.000000 UTC,VVSENK_LUCASGONZALES_MALACATE_EARLY_F23,-32.388451850967,-59.470036861691,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-29 00:00:00.000000 UTC,VVSENK_SAUCE PINTO_RSCHENFELD_EARLY_F23,-31.867373,-60.3223262,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-30 00:00:00.000000 UTC,VVSENK_OROVERDE_MELCHIORI_EARLY_EVE23,-31.8500269,-60.5352644,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-10-09 00:00:00.000000 UTC,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-21 00:00:00.000000 UTC,ORODR3_MERCEDES_AMELIABORIOA_EARLY_2324,-33.4979764,-57.8316801,DK7210RR2,PDIP,,16.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-11-27 00:00:00.000000 UTC,ORODR3_YOUNS_DELCARMEN_LATE_2324,-32.7470356,-57.5223212,DK7210RR2,PDIP,,60.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-12-29 00:00:00.000000 UTC,ORODR3_YOUNG_DOSCEIBOS_LATE_2324,-32.9193765,-57.6953857,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-10-09 00:00:00.000000 UTC,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7210RR2,PDIP,,100.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-11-27 00:00:00.000000 UTC,ORODR3_YOUNS_DELCARMEN_LATE_2324,-32.7470356,-57.5223212,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-20 00:00:00.000000 UTC,ORODR3_PALMAR_RANCHONUEVO_EARLY_2324_RIEGO,-33.0769272,-57.229604,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
