protocolType,FIELD_pipeline,FIELD_plantingDate,FIELD_locationName,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-16 00:00:00.000000 UTC,Carmen de Areco Buenos Aires Argentina,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-09-28 00:00:00.000000 UTC,Juarez Celman Cordoba Argentina,DBORE_SANTAEUFEMIA_LAPAZ_EARLY_F23,-33.249633,-63.243473,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-09-28 00:00:00.000000 UTC,Juarez Celman Cordoba Argentina,DBORE_SANTAEUFEMIA_LAPAZ_EARLY_F23,-33.249633,-63.243473,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7210RR2,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7272VT3P,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,San Cayetano Buenos Aires Argentina,RLOPE1_SANCAYETANO_HANSEN_EARLY_F23,-38.0698336,-59.3424174,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-29 00:00:00.000000 UTC,Parana Entre Rios Argentina,VVSENK_SAUCE PINTO_RSCHENFELD_EARLY_F23,-31.867373,-60.3223262,DK7210RR2,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-30 00:00:00.000000 UTC,Parana Entre Rios Argentina,VVSENK_OROVERDE_MELCHIORI_EARLY_EVE23,-31.8500269,-60.5352644,DK7210RR2,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7210RR2,DSSFP,N/A,34.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7272VT3P,DSSFP,N/A,2.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-13 00:00:00.000000 UTC,Colon Cordoba Argentina,DBORE_COLONIACAROYA_SALVUCCI_LATE_F23,-30.994599,-63.906633,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-09 00:00:00.000000 UTC,Rio Cuarto Cordoba Argentina,GGBLAN_RIOCUARTO_MALE_LATE_F23,-33.012942,-64.2872085,DK7210RR2,DSSFP,N/A,1.0,,FTNTEMP
FTN,South,2023-12-27 00:00:00.000000 UTC,Durazno Durazno Uruguay,ORODR3_BLANQUILLO_GONZALOCARLE_LATE_2324,-32.8636524,-55.6437274,DK7272TRE,DSSFP,N/A,4.0,,FTNURY
FTN,South,2023-12-27 00:00:00.000000 UTC,Durazno Durazno Uruguay,ORODR3_BLANQUILLO_GONZALOCARLE_LATE_2324,-32.8636524,-55.6437274,DK7210RR2,DSSFP,N/A,95.0,,FTNURY
