protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,2.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,3.0,4.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,4.0,5.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,5.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,7.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,6.0,1.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,8.0,4.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,9.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,10.0,5.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,11.0,6.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,12.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,13.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,14.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,15.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,16.0,6.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,17.0,8.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,18.0,2.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,19.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,20.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,21.0,0.0,,FTNTEMP
FTN,South,2023.0,2023-11-16 00:00:00.000000 UTC,GFKVN_CARECO_MONCHO_LATE_F23,-34.4213275,-59.762198,,DK7272TRE,HZ9_SUB,N/A,22.0,2.0,,FTNTEMP
